batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average
T Shamsi,South Africa,13,13,4,9,39,71,4,0,0,0,11,54.93,9.75
T Stubbs,South Africa,12,12,11,1,361,423,17,9,3,1,112,85.34,32.82
T Suri,United Arab Emirates,5,5,5,0,91,127,14,0,0,0,27,71.65,18.2
T Taibu,Zimbabwe,100,100,86,14,2837,4237,196,32,21,2,107,66.96,32.99
T Thushara,Sri Lanka,23,23,19,4,357,386,31,7,1,0,54,92.49,18.79
T de Zorzi,South Africa,17,17,16,1,626,633,67,20,2,1,119,98.89,39.12
T van der Gugten,Netherlands,8,8,6,2,116,170,5,4,0,0,49,68.24,19.33
TA Blundell,New Zealand,12,12,9,3,266,309,28,2,2,0,68,86.08,29.56
TA Boult,New Zealand,50,50,24,26,216,284,20,7,0,0,21,76.06,9.0
TAM Siriwardana,Sri Lanka,24,24,23,1,516,539,39,13,3,0,66,95.73,22.43
TB Robinson,New Zealand,3,3,3,0,48,49,7,0,0,0,35,97.96,16.0
TB Sole,Scotland,6,6,5,1,38,37,7,0,0,0,20,102.7,7.6
TBM de Leede,Netherlands,9,9,8,1,113,210,10,1,1,0,58,53.81,14.12
TC Bastiampillai,Canada,5,5,5,0,89,163,11,2,0,0,49,54.6,17.8
TC Bruce,Scotland,2,2,1,1,33,35,1,2,0,0,22,94.29,33.0
TCB Fernando,Sri Lanka,3,3,1,2,18,39,0,0,0,0,14,46.15,18.0
TD Astle,New Zealand,4,4,3,1,79,80,5,2,0,0,49,98.75,26.33
TD Paine,Australia,34,34,32,2,861,1250,94,6,5,1,111,68.88,26.91
TD Smartt,West Indies,11,11,6,5,40,65,0,1,0,0,10,61.54,6.67
TG Gordon,Canada,4,4,4,0,23,58,2,0,0,0,9,39.66,5.75
TG Norris,United States of America,3,3,2,1,59,58,8,0,0,0,31,101.72,29.5
TG Southee,New Zealand,92,92,60,32,715,770,56,25,1,0,55,92.86,11.92
TH David,Australia,4,4,4,0,45,56,3,3,0,0,35,80.36,11.25
TJ Bishop,West Indies,1,1,1,0,0,6,0,0,0,0,0,0.0,0.0
TJ Friend,Zimbabwe,7,7,7,0,132,175,14,2,1,0,82,75.43,18.86
TJ Heggelman,Netherlands,2,2,2,0,23,71,0,0,0,0,22,32.39,11.5
TJ Murtagh,Ireland,20,20,10,10,143,190,14,1,0,0,23,75.26,14.3
TJG Pringle,Netherlands,4,4,4,0,6,14,0,0,0,0,6,42.86,1.5
TK Canning,New Zealand,2,2,2,0,13,25,0,0,0,0,13,52.0,6.5
TK Curran,England,16,16,8,8,303,332,29,5,0,0,47,91.27,37.88
TK Musakanda,Zimbabwe,9,9,9,0,210,240,23,3,0,0,48,87.5,23.33
TK Patel,United States of America,6,6,4,2,71,149,7,0,1,0,50,47.65,17.75
TL Best,West Indies,13,13,7,6,72,114,7,0,0,0,24,63.16,10.29
TL Chatara,Zimbabwe,45,45,22,23,176,369,15,2,0,0,23,47.7,8.0
TL Chivanga,Zimbabwe,3,3,2,1,18,21,3,0,0,0,8,85.71,9.0
TL Seifert,New Zealand,3,3,3,0,59,57,3,2,0,0,26,103.51,19.67
TLW Cooper,Netherlands,18,18,17,1,576,776,60,4,5,0,74,74.23,33.88
